Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
,    TABLE 27: MARKET BORROWINGS *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1990-91,,,1991-92,,,1992-93,,,1993-94,,,1994-95,,,1995-96,,,1996-97,,,1997-98,,,1998-99,,,1999-00,,,2000-01,,,2001-02,,,2002-03,,,2003-04,,,2004-05,,,2005-06,,,2006-07,,,2007-08,,,2008-09,,,2009-10,,
,,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net,Gross,Repayment,Net
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,240,–,240,340,–,340,363,–,363,393,57,336,438,–,438,573,92,482,530,–,530,645,62,583,1557,158,1399,1852,153,1699,1399,–,1399,2055,159,1896,3401,175,3226,3226,393,2833,3312,438,2874,1956,573,1383,2726,530,2196,6650,1008,5642,10934,1783,9151,15383,2098,13286
,2.Bihar,340,–,340,389,–,389,400,–,400,414,29,385,442,–,442,508,–,508,559,–,559,643,28,615,734,104,630,400,74,326,639,35,603,1116,91,1025,1335,135,1200,2131,309,1822,1890,330,1560,728,380,348,–,418,-418,1092,779,313,3397,733,2664,3000,498,2502
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,195,6,189,269,13,256,464,15,449,642,48,594,392,93,430,–,86,-86,–,95,-95,–,157,-157,–,153,-153,700,250,450
,4.Goa,9,–,9,10,–,10,10,–,10,10,–,10,15,–,15,18,–,18,19,–,19,21,–,21,90,–,90,75,–,75,80,–,80,89,–,89,155,–,155,240,10,230,133,15,118,83,18,66,100,19,81,400,31,369,500,96,404,600,82,518
,5.Gujarat,84,–,84,98,–,98,132,–,132,138,32,106,209,–,209,256,–,256,282,–,282,344,34,310,584,62,522,580,58,522,809,37,772,1406,57,1349,2537,68,2469,3333,138,3195,2020,209,1811,602,256,346,–,282,-282,6775,475,6300,8534,677,7857,9000,930,8070
,6.Haryana,54,–,54,67,–,67,76,–,76,79,15,64,109,–,109,134,–,134,147,–,147,177,15,162,234,41,193,256,38,218,238,20,218,295,34,261,756,41,715,1165,79,1086,1039,109,930,521,134,387,–,147,-147,–,253,-253,2795,290,2505,4000,316,3684
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,216,12,204,370,31,339,455,46,409,575,105,470,560,112,448,364,128,236,401,141,260,1192,264,928,1486,248,1238,1844,169,1675
,8.Karnataka,137,–,137,158,–,158,177,–,177,181,25,156,182,–,182,243,32,212,233,–,233,285,29,256,702,76,626,904,78,826,826,–,826,1135,87,1048,1611,101,1510,2779,181,2598,2299,182,2117,415,243,171,–,233,-233,750,462,288,7417,833,6584,6000,1046,4954
,9.Kerala,152,–,152,201,–,201,215,–,215,220,26,193,296,–,296,346,–,346,380,–,380,448,30,418,592,82,510,591,51,540,577,37,540,966,89,877,1237,103,1134,1931,220,1711,1672,296,1376,1808,346,1462,2168,380,1788,4297,663,3634,5516,734,4782,5456,746,4710
,10.Madhya Pradesh,151,–,151,164,–,164,179,–,179,182,19,163,349,–,349,401,–,401,451,–,451,516,19,497,611,52,559,910,52,859,532,17,515,713,37,676,1137,40,1097,2405,133,2272,1730,256,1474,1261,315,946,1420,357,1063,1875,538,1337,4495,538,3957,5821,804,5017
,11.Maharashtra,104,–,104,189,–,189,223,–,223,226,39,187,386,–,386,426,–,426,468,–,468,553,37,515,685,69,616,772,72,700,809,39,770,1290,61,1229,1074,74,1000,6449,226,6223,4275,386,3889,1580,426,1154,1736,468,1268,8520,775,7744,17762,795,16967,15500,889,14611
,12.Orissa,144,–,144,262,–,262,272,–,272,300,26,274,299,–,299,401,57,344,378,–,378,446,30,416,565,94,471,701,87,615,690,–,690,838,96,742,1308,106,1202,2101,300,1801,1199,299,900,506,401,105,–,393,-393,–,874,-874,–,670,-670,–,571,-571
,13.Punjab,37,–,37,41,–,41,47,–,47,51,14,37,171,–,171,221,–,221,243,–,243,281,13,268,373,28,345,580,35,545,362,17,345,419,22,397,1141,79,1062,2056,51,2006,1831,171,1659,1199,221,978,981,243,738,4121,328,3794,5061,416,4645,4985,624,4361
,14.Rajasthan,161,–,161,204,–,204,232,–,232,249,42,207,314,–,314,394,–,394,434,–,434,522,45,477,1001,112,889,1223,104,1119,1182,63,1119,1192,106,1086,2383,119,2264,2714,249,2465,2391,314,2077,1041,394,647,1499,434,1065,3987,754,3233,6356,1160,5196,7500,1389,6111
,15.Tamil Nadu,185,–,185,233,–,233,289,–,289,313,38,275,350,–,350,403,–,403,444,–,444,524,35,488,621,78,543,674,74,600,1092,42,1050,1160,117,1042,2325,186,2139,2851,313,2538,2599,350,2249,1619,403,1215,1814,444,1370,4942,813,4130,9598,806,8792,12599,875,11724
,16.Uttar Pradesh,459,–,459,576,–,576,639,–,639,807,93,714,787,–,787,1089,151,937,1031,–,1031,1248,113,1134,2101,282,1818,2310,241,2068,1490,–,1490,2449,264,2185,3237,299,2938,5375,766,4608,4060,748,6139,3096,1034,2062,3248,979,2269,4422,1791,2631,12693,2397,10297,13877,2634,11243
,17.West Bengal,178,–,178,271,–,271,296,–,296,300,22,278,421,–,421,447,–,447,492,–,492,571,29,541,706,97,608,767,102,665,877,63,815,1119,89,1030,2506,101,2405,5729,300,5429,4439,421,4017,1714,447,1267,1336,492,844,11607,867,10740,12397,854,11544,16552,948,15604
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,4,–,4,5,–,5,5,–,5,5,–,5,5,–,5,5,–,5,5,–,5,6,–,6,6,–,6,6,–,6,16,–,16,27,–,27,34,–,34,131,5,126,22,5,17,47,5,42,108,5,103,185,10,174,26,10,17,79,10,69
,2.Assam,34,–,34,38,–,38,120,–,120,124,13,112,162,–,162,163,–,163,179,–,179,212,12,200,381,26,355,386,24,362,380,18,362,531,21,510,911,23,888,943,124,819,794,162,633,880,163,718,857,179,678,963,333,630,2506,405,2100,1910,418,1491
,3.Himachal Pradesh,23,–,23,26,–,26,26,–,26,26,2,24,34,–,34,44,4,40,44,–,44,51,2,48,143,6,137,229,6,223,233,–,233,376,12,364,698,14,684,882,26,856,886,34,851,469,44,425,512,44,468,1399,77,1322,1912,160,1752,1420,243,1177
,4.Jammu and Kashmir,29,–,29,37,–,37,34,–,34,45,3,42,58,–,58,71,5,66,73,–,73,84,4,81,106,17,89,100,12,89,239,–,239,280,16,264,596,18,578,522,45,477,474,58,416,298,71,227,691,73,618,2226,118,2108,1757,128,1629,1609,127,1482
,5.Manipur,11,–,11,12,–,12,15,–,15,15,3,12,14,–,14,16,–,16,18,–,18,23,3,19,29,8,21,30,9,21,25,4,21,45,7,38,77,8,69,192,15,177,83,14,69,205,16,189,99,18,81,247,37,210,303,39,264,503,42,461
,6.Meghalaya,–,–,–,13,–,13,13,–,13,17,–,17,18,–,18,27,2,25,28,–,28,35,5,30,73,3,70,79,9,70,70,–,70,88,3,85,87,–,87,166,17,149,142,18,125,158,27,131,192,28,164,196,48,148,259,73,186,274,82,192
,7.Mizoram,–,–,–,–,–,–,–,–,–,5,–,5,10,–,10,15,–,15,17,–,17,18,–,18,30,–,30,35,–,35,35,–,35,44,–,44,118,–,118,101,5,96,89,10,79,115,15,100,125,17,108,147,18,129,156,30,126,155,35,120
,8.Nagaland,14,–,14,16,–,16,19,–,19,20,4,16,25,–,25,40,–,40,44,–,44,52,4,48,81,11,70,114,14,100,105,5,100,156,10,146,178,11,167,227,20,207,164,25,139,254,40,214,293,44,249,369,71,298,467,94,373,577,129,449
,9.Sikkim,6,–,6,7,–,7,7,–,7,7,–,7,12,–,12,16,–,16,17,–,17,19,–,19,41,–,41,46,–,46,25,–,25,10,–,10,20,–,20,62,7,55,48,12,36,104,16,88,115,17,98,250,26,224,293,45,248,328,51,277
,10.Tripura,13,–,13,17,–,17,19,–,19,20,3,17,18,–,18,18,–,18,20,–,20,26,5,22,67,7,60,83,8,76,80,4,76,57,8,49,121,9,112,229,20,209,251,18,233,137,18,119,35,20,15,–,45,-45,156,78,78,350,96,254
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79,–,79,212,14,198,950,16,934,1366,41,1325,309,40,269,568,55,513,369,52,317,830,95,735,1011,127,884,600,140,460
,All States,2569,–,2569,3372,–,3372,3805,–,3805,4145,507,3639,5123,–,5123,6274,343,5932,6536,–,6536,7749,557,7193,12114,1414,10700,13706,1301,12405,13330,420,12880,18707,1446,17261,30853,1788,29065,50521,4145,46376,39101,5123,36935,21729,6274,15455,20825,6551,14273,67442,11711,55731,117788,14371,103416,130622,16238,114383
,Memo item:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.NCT Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,2.Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,337,–,337,350,–,350,500,–,500
,See 'Notes on Tables'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
