Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 17: PENSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,40,47,52,75,120,120,106,133,213,241,330,411,444,510,746,893,1004,1139,1373,1657,2378,2321,2364,2425,3017,3197,4150,5092,5619,6743
,2.Bihar,10,17,27,35,44,57,50,60,111,204,187,224,243,260,320,556,702,756,1024,1424,1646,1780,2039,2201,2325,2456,2497,2789,3438,3782
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,25,457,391,456,534,462,625,685,869,943
,4.Goa,–,–,–,–,–,–,3,4,6,7,8,9,11,13,15,20,24,30,63,68,86,116,138,110,140,156,147,140,269,667
,5.Gujarat,22,29,40,38,50,63,78,97,162,173,204,233,261,298,381,458,609,762,1237,1507,1439,1502,1588,1734,1892,2101,2396,2979,3002,3223
,6.Haryana,6,9,12,16,20,21,28,47,46,66,71,84,107,120,138,166,244,258,531,587,571,657,746,766,902,1033,1173,1298,1690,2190
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,519,750,905,928,775,791,714,1126,1531
,8.Karnataka,44,65,77,99,109,113,102,161,211,241,269,297,349,410,470,559,716,809,972,1539,1583,1641,1773,1901,2157,2237,2496,3241,4200,4001
,9.Kerala,33,45,55,78,84,112,173,184,188,213,294,339,372,465,565,717,754,913,1154,1808,1929,1838,2283,2409,2601,2861,3295,4925,4784,5006
,10.Madhya Pradesh,16,20,23,30,38,52,61,83,119,135,169,216,255,330,385,528,682,753,1143,1196,963,1011,1083,1197,1330,1557,1752,1964,2589,3641
,11.Maharashtra,35,47,58,58,83,121,144,184,248,244,286,322,368,433,489,604,790,919,953,1590,2122,2589,2526,2636,2872,3328,3543,4191,5025,5406
,12.Orissa,9,8,12,16,19,20,30,37,56,69,75,95,122,146,165,194,253,317,475,688,832,1003,1030,1158,1260,1339,1485,1801,2796,3991
,13.Punjab,9,16,20,33,28,35,67,65,74,92,127,143,157,191,218,280,348,434,719,1140,1117,1035,1356,1389,1514,1656,1905,2433,2534,3651
,14.Rajasthan,24,26,32,40,66,61,56,75,101,114,157,180,206,260,300,374,490,596,879,1337,1693,1685,1683,1842,1626,1651,2116,2564,3811,4554
,15.Tamil Nadu,29,35,45,55,68,87,123,156,192,272,348,401,472,540,636,787,1070,1287,1691,2688,2927,3050,3327,3280,3902,4460,5430,6017,8035,9848
,16.Uttar Pradesh,24,29,39,47,53,77,93,121,158,181,236,293,474,426,498,723,894,1054,1776,2061,2163,2392,2751,2900,3561,3991,4850,6136,6763,11026
,17.West Bengal,18,27,37,38,44,57,69,101,144,167,184,218,253,338,401,466,625,791,1012,1582,1937,2254,2408,2611,3336,3642,3553,3995,4302,8991
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,1,2,2,3,4,4,6,7,8,10,12,17,32,39,48,54,60,66,70,71,79,109,131,144
,2.Assam,7,4,4,4,14,13,17,23,30,40,49,83,105,134,162,180,214,248,303,518,673,731,776,909,1062,1011,1178,1341,1552,2337
,3.Himachal Pradesh,4,5,9,7,11,13,18,27,9,5,46,52,62,77,83,103,127,165,222,445,391,443,490,533,591,670,912,949,1206,1299
,4.Jammu and Kashmir,6,7,9,10,12,15,16,20,28,31,41,44,47,50,55,68,105,162,374,413,449,570,638,624,660,730,1010,1050,1147,1412
,5.Manipur,1,1,2,2,3,3,4,5,5,6,9,25,18,21,26,32,47,54,54,145,127,140,167,166,183,168,239,206,250,252
,6.Meghalaya,1,–,1,1,1,2,2,2,3,4,6,7,9,12,14,16,21,22,35,40,55,58,67,76,87,93,118,135,126,176
,7.Mizoram,–,–,–,–,–,1,–,2,2,3,4,4,5,7,8,10,15,16,17,25,40,48,47,66,89,89,77,97,106,163
,8.Nagaland,–,1,1,1,1,2,2,3,2,3,7,10,9,30,29,30,32,34,40,53,88,102,133,141,134,179,202,260,274,307
,9.Sikkim,–,–,–,–,–,1,–,1,1,1,1,2,2,3,3,4,5,6,15,16,18,21,29,40,31,42,49,50,58,109
,10.Tripura,1,1,1,2,2,3,4,6,9,15,18,20,22,29,31,36,45,58,69,111,148,175,227,202,221,242,267,315,380,525
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,26,135,283,354,453,527,623,857,1305
,All States,339,440,559,684,870,1049,1248,1598,2121,2532,3131,3716,4379,5107,6146,7813,9827,11599,16166,22679,25452,28219,31005,33024,37378,40647,46861,56098,66938,87220
,Memo item:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.NCT Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,2.Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,86,104,120,166,156
,Also See 'Notes on Tables'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
